deleted_at,restored_at,transaction_id,created_at,updated_at,id,int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8,int_9,int_10,float_1,float_2,float_3,float_4,float_5,char_1,char_2,char_3,char_4,char_5,json_1,json_2,json_3,json_4,json_5,json_6,json_7,json_8,json_9,json_10,file_1,file_2,file_3,file_4,file_5,date_1,date_2,date_3,bool_1,bool_2,bool_3,bool_4,bool_5,created_by_id,device_id_id,modified_by_id
NULL,NULL,NULL,2025-02-25 16:33:16.502428+05:30,2025-02-25 16:33:16.502446+05:30,1,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,success,NULL,NULL,NULL,NULL,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",NULL,NULL,NULL,NULL,[],[],[],[],[],,,,,,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,1,NULL
NULL,NULL,NULL,2025-02-28 18:23:12.762856+05:30,2025-02-28 18:23:12.762875+05:30,2,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,success,NULL,NULL,NULL,NULL,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",NULL,NULL,NULL,NULL,[],[],[],[],[],,,,,,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,1,NULL
NULL,NULL,NULL,2025-02-28 18:35:24.371618+05:30,2025-02-28 18:35:24.371636+05:30,3,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,success,NULL,NULL,NULL,NULL,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",NULL,NULL,NULL,NULL,[],[],[],[],[],,,,,,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,1,NULL
NULL,NULL,NULL,2025-02-28 18:35:33.611291+05:30,2025-02-28 18:35:33.611306+05:30,4,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,success,NULL,NULL,NULL,NULL,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",NULL,NULL,NULL,NULL,[],[],[],[],[],,,,,,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,1,NULL
NULL,NULL,NULL,2025-02-28 18:36:56.895526+05:30,2025-02-28 18:36:56.895544+05:30,5,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,success,NULL,NULL,NULL,NULL,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",NULL,NULL,NULL,NULL,[],[],[],[],[],,,,,,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,1,NULL
NULL,NULL,NULL,2025-03-03 10:03:31.128907+05:30,2025-03-03 10:03:31.129028+05:30,6,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,success,NULL,NULL,NULL,NULL,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",NULL,NULL,NULL,NULL,[],[],[],[],[],,,,,,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,1,NULL
NULL,NULL,NULL,2025-03-03 18:28:48.002713+05:30,2025-03-03 18:28:48.002736+05:30,7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,success,NULL,NULL,NULL,NULL,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",NULL,NULL,NULL,NULL,[],[],[],[],[],,,,,,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,2,NULL
NULL,NULL,NULL,2025-03-11 18:33:14.045353+05:30,2025-03-11 18:33:14.045374+05:30,8,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,success,NULL,NULL,NULL,NULL,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",NULL,NULL,NULL,NULL,[],[],[],[],[],,,,,,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,1,NULL
NULL,NULL,NULL,2025-03-11 18:39:26.291843+05:30,2025-03-11 18:39:26.291864+05:30,9,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,success,NULL,NULL,NULL,NULL,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",NULL,NULL,NULL,NULL,[],[],[],[],[],,,,,,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,1,NULL
NULL,NULL,NULL,2025-03-11 18:39:48.817782+05:30,2025-03-11 18:39:48.817798+05:30,10,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,success,NULL,NULL,NULL,NULL,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",NULL,NULL,NULL,NULL,[],[],[],[],[],,,,,,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,1,NULL
NULL,NULL,NULL,2025-03-11 18:40:37.290638+05:30,2025-03-11 18:40:37.290651+05:30,11,202500000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,success,NULL,NULL,NULL,NULL,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",NULL,NULL,NULL,NULL,[],[],[],[],[],,,,,,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,1,NULL
NULL,NULL,NULL,2025-03-11 18:58:27.39829+05:30,2025-03-11 18:58:27.398306+05:30,12,202500000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,success,NULL,NULL,NULL,NULL,"{""tags"": [""1234ABCDE"", ""1234ABCD""], ""timestamp"": ""2025-02-10T12:34:56Z""}",NULL,NULL,NULL,NULL,[],[],[],[],[],,,,,,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,NULL,1,NULL
